"序号","网址","发帖大类","发帖小类","发帖标题","发帖内容","发帖人","发帖日期","发帖类型","分词结果"
425,"http://bbs.cehome.com/thread-1149715-1-1.html","挖掘机专区","我爱我挖","搞了这么几年了，我发现我是二把刀","","不搞挖机了","2017-11-27 08:40:43","","搞了 这么 几年 发现 二把刀"
426,"http://bbs.cehome.com/thread-1149711-1-1.html","铁甲娱乐","轻松一刻","开始吧","斗图","北海路 比伯","2017-11-27 08:35:59","","开始"
427,"http://bbs.cehome.com/thread-1149707-1-1.html","我与工程机械","故障咨询","斗山挖机打开四维时候滴滴声不正常","我的是斗山55DX-9c，每次打开四维都会滴滴三声，最近老是滴滴两声或者一声，有时滴滴三声。有半个月了，请问这个有问题吗？","13856098697","2017-11-27 08:30:35","[显示器报警]","斗山 挖机 打开 四维 时候 滴滴 不正常 斗山 每次 打开 四维 都会 滴滴 最近 老是 滴滴 两声 或者 一声 有时 滴滴 半个月 请问 这个 问题"
428,"http://bbs.cehome.com/thread-1149706-1-1.html","挖掘机专区","我爱我挖","千年难遇","这是寓意着什么呢？","","2017-11-27 08:30:15","","千年 难遇 这是 寓意 什么"
429,"http://bbs.cehome.com/thread-1149704-1-1.html","挖掘机专区","我爱我挖","哈哈车贴到了","","13931931251","2017-11-27 08:29:09","","哈哈 贴到"
430,"http://bbs.cehome.com/thread-1149701-1-1.html","我与工程机械","装载机","为什么龙哥不给咋们配一个柴油表呢？","来，老铁们，聊聊你们如何看自己都油量？","18566009820","2017-11-27 08:23:59","[使用报告]","为什么 不给 一个 柴油 聊聊 你们 如何 自己 油量"
431,"http://bbs.cehome.com/thread-1149699-1-1.html","挖掘机专区","我爱我挖","早","","笑出强大y","2017-11-27 08:23:50","",""
432,"http://bbs.cehome.com/thread-1149698-1-1.html","挖掘机专区","我爱我挖","早上好","唉！又是大太阳。。求雨！！！","手机用户dfhntu0","2017-11-27 08:23:45","","早上好 又是 太阳 求雨"
433,"http://bbs.cehome.com/thread-1149694-1-1.html","挖掘机专区","我爱我挖","久违的太阳","我都忘了有多久没见到你了","余生没着落","2017-11-27 08:18:04","","久违 太阳 忘了 多久 没见 到你"
434,"http://bbs.cehome.com/thread-1149693-1-1.html","挖掘机专区","我爱我挖","黑白双煞","","强哥！","2017-11-27 08:17:55","","黑白"
435,"http://bbs.cehome.com/thread-1149685-1-1.html","挖掘机专区","我爱我挖","昨晚家里来了个不速之客","马蜂，两只手都被蛰了今早起来两只手又痒又痛又肿","15016390955","2017-11-27 08:14:17","","昨晚 家里 来了 不速之客 马蜂 两只手 都被 早起 两只手"
436,"http://bbs.cehome.com/thread-1149681-1-1.html","挖掘机专区","我爱我挖","无尽空虚，上点煤矿的图分享给大家","","海阔天空任我飞","2017-11-27 08:08:59","","无尽 空虚 上点 煤矿 分享 大家"
437,"http://bbs.cehome.com/thread-1149677-1-1.html","挖掘机专区","我爱我挖","又换工地","","大小松细洋马","2017-11-27 08:01:31","","换工"
438,"http://bbs.cehome.com/thread-1149674-1-1.html","挖掘机专区","我爱我挖","看图猜机！顺带领币！","你猜，你猜。说出它的型号吧。","没事就挖挖","2017-11-27 07:58:06","","看图 顺带 型号"
439,"http://bbs.cehome.com/thread-1149671-1-1.html","挖掘机专区","我爱我挖","我爱我挖","老铁们，你的气温都几度了","残城ω碎梦","2017-11-27 07:54:31","","爱我 气温 几度"
440,"http://bbs.cehome.com/thread-1149668-1-1.html","挖掘机专区","我爱我挖","早上好","","阳光你早","2017-11-27 07:50:37","","早上好"
441,"http://bbs.cehome.com/thread-1149664-1-1.html","挖掘机专区","我爱我挖","除草","环境优美","徐工60D","2017-11-27 07:46:03","","除草 环境优美"
442,"http://bbs.cehome.com/thread-1149662-1-1.html","挖掘机专区","我爱我挖","无知修理工","昨天出发来上海帮兄弟掏台挖机，自己的200-6液压泵的盲肠管爆了，我兄弟不懂，拆出去压，结果不知道是图省事还是不懂，居然跟我兄弟说这根管没用，直接割掉焊死，我就郁闷死了，甲友们说说不知道会不会有什么大的影响","路见不平修一斗","2017-11-27 07:44:42","","无知 修理工 昨天 出发 来上 兄弟 挖机 自己 液压泵 盲肠 兄弟 不懂 拆出去 结果 不知道 省事 还是 不懂 居然 跟我 兄弟 这根 没用 直接 割掉 郁闷死 说说 不知道 会不会 什么 影响"
443,"http://bbs.cehome.com/thread-1149660-1-1.html","挖掘机专区","我爱我挖","我们不一样","我们开挖掘机的最怕拆装液压管，又脏又累！在驾驶室里拆操作杆油管","15016390955","2017-11-27 07:44:15","","我们 不一样 我们 开挖 最怕 拆装 液压 驾驶室 操作 油管"
444,"http://bbs.cehome.com/thread-1149655-1-1.html","我与工程机械","故障咨询","三一215c一8s咨询一下问题 心里有个底2012年的车","我得三一215开的时候冒黑烟  然后干活 干一两个小时以后车就老是憋车这是为什么啊？","文人墨客","2017-11-27 07:40:02","[冒黑烟]","三一 咨询 一下 问题 心里 三一 时候 黑烟 然后 干活 一两 小时 以后 老是 这是 为什么"
445,"http://bbs.cehome.com/thread-1149654-1-1.html","铁甲娱乐","轻松一刻","铁甲币","","挖机刘老二","2017-11-27 07:39:41","","铁甲"
446,"http://bbs.cehome.com/thread-1149651-1-1.html","挖掘机专区","我爱我挖","早餐","","秦小挖","2017-11-27 07:37:48","","早餐"
447,"http://bbs.cehome.com/thread-1149648-1-1.html","挖掘机专区","我爱我挖","各位老板，大师","加腾报警了，这个是什么问题？","广东挖手","2017-11-27 07:35:15","","各位 老板 大师 报警 这个 是什么 问题"
448,"http://bbs.cehome.com/thread-1149647-1-1.html","挖掘机专区","我爱我挖","昨晚加班到1点半","不想起呀","小小挖掘哥","2017-11-27 07:33:57","","昨晚 加班 不想"
449,"http://bbs.cehome.com/thread-1149645-1-1.html","互通有无","配件广告专区","有做铲车二手配件的吗","想找一个柳工855后传动轴的伸缩叉，谁有的","528528","2017-11-27 07:32:48","[其他]","铲车 二手 配件 想找 一个 后传 伸缩 谁有"
450,"http://bbs.cehome.com/thread-1149644-1-1.html","挖掘机专区","我爱我挖","大家好","最近活多吗都","征服者2016","2017-11-27 07:32:35","","大家好 最近"
451,"http://bbs.cehome.com/thread-1149640-1-1.html","挖掘机专区","我爱我挖","北京周边都放假了吗","说说放假都干什么去了？找点事干","甲友 005","2017-11-27 07:25:52","","北京 周边 放假 了吗 说说 放假 干什么 去了 找点事干"
452,"http://bbs.cehome.com/thread-1149638-1-1.html","挖掘机专区","我爱我挖","不要羡慕，这样的操作早晚会出事的，注意安全谨慎驾驶","","13504278610","2017-11-27 07:24:43","","不要 羡慕 这样 操作 早晚 会出 注意安全 谨慎 驾驶"
453,"http://bbs.cehome.com/thread-1149633-1-1.html","挖掘机专区","我爱我挖","车贴到了","感谢铁甲小白！","铁甲勇哥","2017-11-27 07:16:33","","贴到 感谢 铁甲 小白"
454,"http://bbs.cehome.com/thread-1149632-1-1.html","挖掘机专区","我爱我挖","三年干的活","","手机用户desu358","2017-11-27 07:15:25","","三年"
455,"http://bbs.cehome.com/thread-1149630-1-1.html","挖掘机专区","我爱我挖","黑科技","","问一问天多高","2017-11-27 07:14:54","","科技"
456,"http://bbs.cehome.com/thread-1149629-1-1.html","挖掘机专区","我爱我挖","【一起来 就现在】做事咯","铁甲币太难得","黄忠","2017-11-27 07:14:53","","一起 现在 做事 铁甲 太难"
457,"http://bbs.cehome.com/thread-1149622-1-1.html","挖掘机专区","我爱我挖","开始搬砖","老房重建","13083651751","2017-11-27 07:05:50","","开始 重建"
458,"http://bbs.cehome.com/thread-1149621-1-1.html","挖掘机专区","我爱我挖","【一起来就现在】还是农村好","没有套路","我爱把把","2017-11-27 07:05:13","","一起 来就 现在 还是 农村 没有 套路"
459,"http://bbs.cehome.com/thread-1149618-1-1.html","挖掘机专区","我爱我挖","看论坛","不想起床看帖子来个666","宇通重工铲车","2017-11-27 07:04:07","","论坛 不想 起床 看帖 子来"
460,"http://bbs.cehome.com/thread-1149613-1-1.html","挖掘机专区","我爱我挖","早","曱友们早","13961311165","2017-11-27 06:56:14","",""
461,"http://bbs.cehome.com/thread-1149610-1-1.html","","","","","","","",""
462,"http://bbs.cehome.com/thread-1149609-1-1.html","","","","","","","",""
463,"http://bbs.cehome.com/thread-1149605-1-1.html","挖掘机专区","我爱我挖","拌和机打到地下电缆","","手机用户jimnw25","2017-11-27 06:47:46","","拌和 打到 地下 电缆"
464,"http://bbs.cehome.com/thread-1149590-1-1.html","铁甲娱乐","轻松一刻","分享日记第179天","大家早上好","Yanyingqiang","2017-11-27 06:29:41","","分享 日记 大家 早上好"
465,"http://bbs.cehome.com/thread-1149589-1-1.html","互通有无","招聘求职","找修挖机学徒！","找修挖机学徒，地点：广东茂名电白，电话；13226297654，具体详谈！","阴差阳错","2017-11-27 06:29:37","[广东]","挖机 学徒 挖机 学徒 地点 广东 茂名 电白 电话 具体 详谈"
466,"http://bbs.cehome.com/thread-1149586-1-1.html","我与工程机械","装载机","这个时候，人最怂","","春夏秋冬.唯我山工","2017-11-27 06:26:48","","这个 时候"
467,"http://bbs.cehome.com/thread-1149583-1-1.html","挖掘机专区","我爱我挖","早上好","翻个车","蓝色山重","2017-11-27 06:22:19","","早上好 翻个"
468,"http://bbs.cehome.com/thread-1149580-1-1.html","挖掘机专区","我爱我挖","睡不着了","","昆","2017-11-27 06:17:18","","睡不着"
469,"http://bbs.cehome.com/thread-1149575-1-1.html","挖掘机专区","杂谈图库","【一起来  就现在】我要有这技术就好了","","铁甲小隆","2017-11-27 06:10:40","","一起 现在 要有 技术 就好"
470,"http://bbs.cehome.com/thread-1149573-1-1.html","挖掘机专区","我爱我挖","早","马上起床了，","不漂泊","2017-11-27 06:08:55","","马上 起床"
471,"http://bbs.cehome.com/thread-1149566-1-1.html","我与工程机械","起重设备","荷兰鹿特丹港口的森尼波根6180","荷兰鹿特丹港口的，森尼波根6180。","诛心","2017-11-27 05:58:54","[其他吊车]","荷兰 鹿特丹 港口 荷兰 鹿特丹 港口"
472,"http://bbs.cehome.com/thread-1149564-1-1.html","挖掘机专区","我爱我挖","pC360_7","小时装土2O车要40升油，太高，你们—般多少","15388047370","2017-11-27 05:55:55","","小时 太高 你们 多少"
473,"http://bbs.cehome.com/thread-1149562-1-1.html","挖掘机专区","我爱我挖","终于下班了","","韦。小。宝","2017-11-27 05:54:03","","终于 下班"
474,"http://bbs.cehome.com/thread-1149559-1-1.html","铁甲娱乐","轻松一刻","签到","每日签到","壞先笙","2017-11-27 05:50:38","","签到 每日 签到"
475,"http://bbs.cehome.com/thread-1149558-1-1.html","挖掘机专区","选购询价","懂小松挖机的来","现在想买台小松60--7个人的，得多少钱，08年或09的，外表能看的过去就行谢谢","13174326803","2017-11-27 05:49:57","[机型对比]","小松 挖机 现在 想买 小松 个人 得多 外表 能看 过去 就行 谢谢"
476,"http://bbs.cehome.com/thread-1149557-1-1.html","挖掘机专区","杂谈图库","荷兰ETEC定制版海德宝莱HMK  150W3","荷兰ETEC定制版海德宝莱HMK  150W3","诛心","2017-11-27 05:49:23","[美图转发]","荷兰 定制 海德 荷兰 定制 海德"
477,"http://bbs.cehome.com/thread-1149538-1-1.html","挖掘机专区","我爱我挖","给儿子的玩具","","茫然","2017-11-27 05:15:30","","儿子 玩具"
478,"http://bbs.cehome.com/thread-1149523-1-1.html","挖掘机专区","我爱我挖","做梦都在开挖机","","70.70","2017-11-27 04:47:38","","做梦 都在 开挖"
479,"http://bbs.cehome.com/thread-1149520-1-1.html","铁甲娱乐","轻松一刻","签到","早上好","382707828","2017-11-27 04:44:02","","签到 早上好"
480,"http://bbs.cehome.com/thread-1149501-1-1.html","我与工程机械","故障咨询","破碎锤钎杆压不动。","68小挖破碎锤热机后，钎杆压不回去，压回去非常吃力、非常慢。频率、打击力都正常。破碎锤9成新。有懂的吗？","手机用户mnor289","2017-11-27 04:08:33","[其他]","破碎 不动 小挖 破碎 热机 不回 压回去 非常 吃力 非常 频率 打击力 正常 破碎"
481,"http://bbs.cehome.com/thread-1149491-1-1.html","挖掘机专区","我爱我挖","睡不着起来抽奖","","手机用户bdikp12","2017-11-27 03:49:39","","睡不着 起来 抽奖"
482,"http://bbs.cehome.com/thread-1149457-1-1.html","挖掘机专区","我爱我挖","加班","夜猫子累啊","大中小。","2017-11-27 02:49:43","","加班 夜猫子"
483,"http://bbs.cehome.com/thread-1149441-1-1.html","挖掘机专区","我爱我挖","收工了","","手机用户couvy89","2017-11-27 02:20:11","","收工"
484,"http://bbs.cehome.com/thread-1149423-1-1.html","铁甲娱乐","轻松一刻","签到","睡不着，起来领币","手机用户sq1986","2017-11-27 01:47:28","","签到 睡不着 起来"
485,"http://bbs.cehome.com/thread-1149401-1-1.html","挖掘机专区","我爱我挖","下雨天，冒开工河里搞点鱼","搞了大半夜，还是有点收获，正宗河里鱼，纯生态，无污染，绿色食品","15367275948","2017-11-27 01:07:20","","下雨天 开工 河里 搞点 搞了 大半 还是 有点 收获 正宗 河里 生态 无污染 绿色食品"
486,"http://bbs.cehome.com/thread-1149397-1-1.html","挖掘机专区","我爱我挖","可以领车标了","18天的签到礼包","铁甲小二儿","2017-11-27 01:00:58","","可以 车标 签到 礼包"
487,"http://bbs.cehome.com/thread-1149389-1-1.html","我与工程机械","装载机","换个副车架","能听懂说什么来吗？","TXF09280315","2017-11-27 00:51:28","","换个 车架 能听 说什么"
488,"http://bbs.cehome.com/thread-1149388-1-1.html","挖掘机专区","我爱我挖","同行们不容易啊  求下心得…","今天我正在下面打石头  刚在下面看上面没人不知道怎么回事打了一会儿炮工在上面排险也不说叫走开结果一个石头就飞下来了  要是没有钢护网可能就交代了  后来一个就坐在那里憨了半个小时，烟一根接一根的  真的不容易啊！！！！！","手机用户cfhux17","2017-11-27 00:49:44","","同行 不容易 心得 今天 正在 下面 石头 刚在 下面 看上 没人 不知道 怎么回事 打了 一会儿 在上面 排险 不说 走开 结果 一个 石头 飞下来 要是 没有 可能 交代 后来 一个 就坐 在那里 半个 小时 一根 一根 真的 不容易"
489,"http://bbs.cehome.com/thread-1149385-1-1.html","铁甲娱乐","轻松一刻","有小松70一8群吗甲友些拉我","","手机用户fgjnqw3","2017-11-27 00:47:20","","小松 拉我"
490,"http://bbs.cehome.com/thread-1149371-1-1.html","铁甲娱乐","轻松一刻","睡觉","","残～忆～阳","2017-11-27 00:22:12","","睡觉"
491,"http://bbs.cehome.com/thread-1149370-1-1.html","挖掘机专区","我爱我挖","睡不着","经常失眠不知道咋回事，每次都想着转行，可是除了开挖机，别的什么也不会","操蛋的青春给了挖机","2017-11-27 00:22:09","","睡不着 经常 失眠 不知道 咋回事 每次 都想 转行 可是 除了 开挖 别的 什么 不会"
492,"http://bbs.cehome.com/thread-1149366-1-1.html","挖掘机专区","杂谈图库","7米多油缸","7米多液压油缸换缸筒...","广州润泰泵筒泵芯油缸","2017-11-27 00:19:13","","多油 液压油"
493,"http://bbs.cehome.com/thread-1149361-1-1.html","我与工程机械","故障咨询","神钢200-5一边动作慢、","旋转，一边行走、中臂、无力，换了新的电池阀还是一样、顶住无力的那边链、中臂又正常、求大神指教、谢谢","13927655755","2017-11-27 00:09:36","[单一动作慢]","神钢 一边 动作 旋转 一边 行走 无力 换了 电池 还是 一样 顶住 无力 那边 正常 大神 指教 谢谢"
494,"http://bbs.cehome.com/thread-1149357-1-1.html","挖掘机专区","我爱我挖","继续战斗","感觉身体被掏空","手机用户dfhntu0","2017-11-27 00:03:26","","继续 战斗 感觉 身体 掏空"
495,"http://bbs.cehome.com/thread-1149352-1-1.html","挖掘机专区","我爱我挖","晚安","明天继续干 干它就完啦","15877222061","2017-11-26 23:56:13","","晚安 明天 继续 它就"
496,"http://bbs.cehome.com/thread-1149351-1-1.html","挖掘机专区","我爱我挖","三一75和斗山75懂得来","开春想买台75自己开，我们这除了小松60-7多之外，就数三一，然后就斗山了，小挖就这3种机多，自己开想买三一75c和斗山75-9，三一动作快省油，声小，  而斗山就比较稳些，但我们这斗山75的名声不太好，多路阀2000以后留漏油，大臂容易跌，各种小毛病，想问下大家的斗山75也是这样吗，我们这三一全款38  斗山36","阿苏","2017-11-26 23:55:43","","三一 和斗 懂得 开春 想买 自己 我们 除了 小松 之外 三一 然后就 斗山 小挖 自己 想买 三一 和斗 三一 动作 省油 斗山 比较 但我 斗山 名声 不太好 多路 以后 漏油 容易 各种 小毛病 想问 大家 斗山 也是 这样 我们 三一 全款 斗山"
497,"http://bbs.cehome.com/thread-1149346-1-1.html","挖掘机专区","我爱我挖","上班","上夜班","韦。小。宝","2017-11-26 23:48:13","","上班 上夜"
498,"http://bbs.cehome.com/thread-1149343-1-1.html","挖掘机专区","我爱我挖","哎，看了好痛心","做为一个从事机械行业的看得眼泪出来了。愿机械行业永远没有事故","每天铲五千","2017-11-26 23:44:28","","看了 好痛 做为 一个 从事 机械行业 看得 眼泪 出来 机械行业 永远 没有 事故"
499,"http://bbs.cehome.com/thread-1149340-1-1.html","","","","","","","",""
500,"http://bbs.cehome.com/thread-1149338-1-1.html","我与工程机械","故障咨询","现代215-7c挖机","我是康明斯发动机，现在不知道怎么搞的，油耗非常高，每小时要烧23个油，哪位大神能告诉我是什么原因？我的油泵才校过，是正常的，发动机烧机油","手机用户mor4578","2017-11-26 23:37:34","[其他]","现代 挖机 康明斯 发动机 现在 不知道 怎么搞 油耗 非常 每小时 哪位 大神 告诉我 是什么 原因 油泵 正常 发动机 机油"
501,"http://bbs.cehome.com/thread-1149337-1-1.html","","","","","","","",""
502,"http://bbs.cehome.com/thread-1149327-1-1.html","我与工程机械","故障咨询","加藤450启动没做动作就逼车，动作动了就正常什么问题","加藤450启动没做动作就逼车，动作动了就正常什么问题","刘伟俊","2017-11-26 23:26:49","[其他]","加藤 启动 没做 动作 动作 动了 就正 什么问题 加藤 启动 没做 动作 动作 动了 就正 什么问题"
503,"http://bbs.cehome.com/thread-1149324-1-1.html","挖掘机专区","杂谈图库","晚安","早睡早起","和你一句话","2017-11-26 23:22:53","","晚安 早睡早起"
504,"http://bbs.cehome.com/thread-1149322-1-1.html","挖掘机专区","我爱我挖","加班已是家常便饭","","半城繁华","2017-11-26 23:20:03","","加班 已是 家常便饭"
505,"http://bbs.cehome.com/thread-1149318-1-1.html","挖掘机专区","我爱我挖","加班管漏了","","一如既往开挖机","2017-11-26 23:13:21","","加班 漏了"
506,"http://bbs.cehome.com/thread-1149316-1-1.html","挖掘机专区","我爱我挖","卡特312C有黑油缸的吗？","老铁们！卡特312C有黑油缸的吗？是哪年生产的，跟黄油缸的相比还有别的什么不一样的地方吗？会不会有人做黑油漆啊！深圳的黑油缸312C纯进口机况好的45内能买到吗？","18692920609","2017-11-26 23:12:58","","卡特 黑油 卡特 黑油 年生 黄油 相比 还有 别的 什么 不一样 地方 会不会 有人 黑油 深圳 黑油 进口 内能 买到"
507,"http://bbs.cehome.com/thread-1149310-1-1.html","挖掘机专区","我爱我挖","老板们请指导，谢谢","想入手一台现代60挖机，河南公司报价28万多，感觉有点贵了，价格多少合适啊，现代60挖机质量咋样啊，油耗多少啊，谢谢你们的指导意见！28万的机子都有哪些啊？","手机用户cemn347","2017-11-26 23:06:05","","老板 指导 谢谢 想入 一台 现代 挖机 河南 公司 报价 感觉 有点 贵了 价格 多少 合适 现代 挖机 质量 咋样 油耗 多少 谢谢你们 指导 意见 机子 都有 哪些"
508,"http://bbs.cehome.com/thread-1149309-1-1.html","我与工程机械","故障咨询","沃尔沃210BLC","G3油门抬大臂干活的时候一个小时130？其他时候110到，这是什么问题，感觉这油耗太大了？有没有别的办法解决？求大神帮忙。","18325656688","2017-11-26 23:05:13","[油耗异常]","沃尔沃 油门 干活 时候 一个 小时 其他 时候 这是 什么问题 感觉 油耗 太大 有没有 别的 办法 解决 大神 帮忙"
509,"http://bbs.cehome.com/thread-1149304-1-1.html","互通有无","招聘求职","头又大了","找中小挖机驾驶员一名  工资6000起联系电话13024329966","波大了不起？","2017-11-26 22:57:16","[江苏]","又大 中小 挖机 驾驶员 一名 工资 联系电话"
510,"http://bbs.cehome.com/thread-1149299-1-1.html","挖掘机专区","我爱我挖","黑钢","怎么回事","巨人城也","2017-11-26 22:50:31","","怎么回事"
511,"http://bbs.cehome.com/thread-1149288-1-1.html","挖掘机专区","杂谈图库","第一次发帖，请问大神们小松PC210-8挖掘机怎么样？","小松210杠八 怎么样大神们","手机用户efklq39","2017-11-26 22:36:13","[生活杂谈]","第一次 发帖 请问 大神 小松 挖掘机 怎么样 小松 怎么样 大神"
512,"http://bbs.cehome.com/thread-1149282-1-1.html","挖掘机专区","我爱我挖","【挖青春换生活】","石头装怕了","～挖机界扛把子 大宏～","2017-11-26 22:26:24","","青春 生活 石头 怕了"
513,"http://bbs.cehome.com/thread-1149281-1-1.html","互通有无","招聘求职","招兵买马","湖南省娄底市双峰县招挖机手一枚，神钢130新机做乡活工资六千超过八小时算加班每小时三十五到四十工资月发","贺&挖","2017-11-26 22:26:10","[湖南]","招兵买马 湖南省 娄底市 双峰县 挖机 一枚 神钢 新机 工资 六千 超过 八小时 加班 每小时 十五 四十 工资"
514,"http://bbs.cehome.com/thread-1149278-1-1.html","挖掘机专区","杂谈图库","自己最近怎么了，平常斗到擒来的活，突然不会干了！","干活一点头绪都没了，上个工地做了两月管理说我干活不错，这个月开始感觉做什么都力不从心，管理问我怎么回事了，我也不知道怎么说，该说什么？昨晚都失眠了凌晨4点全无睡意，今天挖机调出来做泥尾被工地老板吼了，平常斗到擒来的钢板，今天居然也挖不起了，是不是该休息休息了","困惑的T^T","2017-11-26 22:21:14","[生活杂谈]","自己 最近 怎么了 平常 突然 不会 干了 干活 一点 头绪 都没 上个 工地 做了 两月 管理 干活 不错 这个 开始 感觉 做什么 力不从心 管理 问我 怎么回事 不知道 怎么说 该说 什么 昨晚 失眠 凌晨 全无 睡意 今天 挖机 调出来 工地 老板 平常 钢板 今天 居然 起了 是不是 休息 休息"
515,"http://bbs.cehome.com/thread-1149276-1-1.html","挖掘机专区","我爱我挖","各位甲友看谁速度快","","dx75","2017-11-26 22:19:13","","各位 看谁 速度快"
516,"http://bbs.cehome.com/thread-1149272-1-1.html","挖掘机专区","我爱我挖","想买个好点的东西，怎么这么难","小松120-6，4D102大机头的，想买个好点的节温器，但是市面上的都是三无产品，不懂哪里才能买到质量好点的，甲友支个招，现在维修工资高，东西用好的，比较省事","werwerwer","2017-11-26 22:14:45","","想买 好点 东西 怎么 这么 小松 机头 想买 好点 但是 市面上 都是 三无 产品 不懂 哪里 才能 买到 质量 好点 现在 维修工 东西 用好 比较 省事"
517,"http://bbs.cehome.com/thread-1149268-1-1.html","挖掘机专区","我爱我挖","小松君来报道！！！！","小松PC360-7最后一批款...杠杠的","小松PC360lc","2017-11-26 22:10:40","","小松 报道 小松 最后 一批 杠杠"
518,"http://bbs.cehome.com/thread-1149267-1-1.html","铁甲娱乐","轻松一刻","晚安","今天没图","对方正在偷人","2017-11-26 22:09:03","","晚安 今天"
519,"http://bbs.cehome.com/thread-1149265-1-1.html","挖掘机专区","我爱我挖","小松200-8故障代码出559后又出2249怎么回事","小松200-8故障代码出559后又出2249怎么回事","手机用户fjqrs29","2017-11-26 22:07:48","[维修改装]","小松 故障 代码 后又 怎么回事 小松 故障 代码 后又 怎么回事"
520,"http://bbs.cehome.com/thread-1149261-1-1.html","铁甲娱乐","视频 模型 游戏","高原上全是雪，挖机冻成冰，但还是一个字：干","下雪天开挖机....还是不错的","小松PC360lc","2017-11-26 22:02:21","","高原 全是 挖机 冻成 还是 一个字 下雪 天开 挖机 还是 不错"
521,"http://bbs.cehome.com/thread-1149257-1-1.html","挖掘机专区","我爱我挖","中联重科挖机怎么样","有没有人在用中联重科的挖掘机啊，想了解一下这个机子用起怎么样","好名猪取了","2017-11-26 21:58:46","","中联 挖机 怎么样 有没有 人在 中联 挖掘机 想了 一下 这个 机子 怎么样"
522,"http://bbs.cehome.com/thread-1149255-1-1.html","","","","","","","",""
523,"http://bbs.cehome.com/thread-1149250-1-1.html","挖掘机专区","我爱我挖","下班了","","临朐庆爷","2017-11-26 21:46:58","","下班"
524,"http://bbs.cehome.com/thread-1149247-1-1.html","挖掘机专区","选购询价","现代75vs挖机 价格多少？","","手机用户celstv2","2017-11-26 21:44:18","[机型对比]","现代 挖机 价格 多少"
525,"http://bbs.cehome.com/thread-1149246-1-1.html","挖掘机专区","我爱我挖","卡特320d与小松200-8，两者选哪个好。","最近一老板，想入手一台二十吨级的挖机，大致看中这两款，但是不知哪个更合适，听说小松200杠吧油耗比320d还高。是真的吗，同转速下，车速度那个快点？","放飞s","2017-11-26 21:42:58","","卡特 小松 两者 哪个 最近 一老 想入 一台 二十 挖机 大致 看中 两款 但是 不知 哪个 更合 听说 小松 油耗 还高 真的 转速 车速 那个 快点"
526,"http://bbs.cehome.com/thread-1149243-1-1.html","挖掘机专区","我爱我挖","河南招一小挖师傅","有河南地区的小挖师傅吗？许昌这边找一小挖师傅，包吃住，工资月结，有意打电话15565326425","手机用户dinpsz6","2017-11-26 21:40:53","","河南 一小 师傅 河南 地区 小挖 师傅 许昌 这边 一小 师傅 包吃 工资 月结 有意 打电话"
527,"http://bbs.cehome.com/thread-1149235-1-1.html","挖掘机专区","我爱我挖","玉柴85中心接头油封","玉柴85的中心接头油封谁换过  换完能用多长时间","小王振","2017-11-26 21:33:04","","玉柴 中心 接头 油封 玉柴 中心 接头 油封 换过 能用 多长时间"
528,"http://bbs.cehome.com/thread-1149233-1-1.html","挖掘机专区","我爱我挖","铁甲的车贴到了，刚领回来。。","感谢铁甲的车贴，，真的不错，刚领回来，在床上就拍照了，，祝铁甲越办越好，，基友们都发财","愤怒的橙子","2017-11-26 21:32:00","","铁甲 贴到 刚领 回来 感谢 铁甲 真的 不错 刚领 回来 在床 拍照 铁甲 越好 都发"
529,"http://bbs.cehome.com/thread-1149232-1-1.html","","","","","","","",""
530,"http://bbs.cehome.com/thread-1149228-1-1.html","挖掘机专区","杂谈图库","霸王，我想活下去","汉高帝五年(公元前202年)，垓下项籍军营虞姬：霸王，我想出去投降，我想活下去项羽：爱妃，你想好了吗？外面可有刘邦十万人马啊，你出去的话可能会被……虞姬：十万人我也认了，我想我能挺得住，我还是想活下去。项羽哭了：十万人你能挺得住，那还有十万马呢虞姬：……","炎汉盛世","2017-11-26 21:28:43","","霸王 想活 下去 汉高帝 公元前 垓下 军营 虞姬 霸王 想出去 投降 想活 下去 项羽 你想 好了吗 外面 可有 刘邦 十万人 出去 的话 可能会 虞姬 十万人 认了 想我 挺得 还是 想活 下去 项羽 哭了 十万人 挺得 那还 十万 虞姬"
531,"http://bbs.cehome.com/thread-1149226-1-1.html","我与工程机械","故障咨询","神钢135换机油后没力","神钢进口135买来第一次换机油后动作变慢是什么原因","18679504412","2017-11-26 21:26:49","[全车动作慢]","神钢 换机 神钢 进口 买来 第一次 换机 动作 变慢 是什么 原因"
532,"http://bbs.cehome.com/thread-1149220-1-1.html","我与工程机械","故障咨询","神钢100-5 动作没先导压力了  是哪里出问题","神钢100-5 动作没先导压力了  是哪里出问题  换了手柄就这样","13413574582","2017-11-26 21:16:00","[其他问题]","神钢 动作 先导 压力 哪里 出问题 神钢 动作 先导 压力 哪里 出问题 换了 手柄 就这样"
533,"http://bbs.cehome.com/thread-1149219-1-1.html","挖掘机专区","杂谈图库","这路面 平的可以了吗？求大师指点拍的有点看不出效果","管工有点嫌我做不好，虽然没当我面说","13739039199","2017-11-26 21:15:48","[生活杂谈]","路面 可以 了吗 大师 指点 有点 看不出 效果 管工 有点 嫌我 不好 虽然 没当"
534,"http://bbs.cehome.com/thread-1149216-1-1.html","挖掘机专区","我爱我挖","国家规定不能超载的，看你不听话，这下傻了吧！","","13504278610","2017-11-26 21:12:46","","国家规定 不能 超载 看你 不听话 这下 傻了"
